timestamp,test-class,test-method,time,description,result
2021-09-09 21:20:22.306,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showPositive,3690,"[1] totalNumberOfPublicTasks=13, totalNumberOfPrivateTasks=7, totalNumberOfFinishedTasks=15, totalNumberOfNonFinishedTasks=5, averageNumberOfTaskExecutionPeriods=200d 23h 2min, deviationNumberOfTaskExecutionPeriods=315d 14h 9min, minimumNumberOfTaskExecutionPeriods=0h 45min, maximumNumberOfTaskExecutionPeriods=731d 1h 45min, averageNumberOfTaskWorkloads=1d 0h 41min, deviationNumberOfTaskWorkloads=1h 7min, minimumNumberOfTaskWorkloads=0h 0min, maximumNumberOfTaskWorkloads=4d 3h 35min",OK
2021-09-09 21:20:25.59,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showNegative,3039,"[1] user=manager1, password=manager1",OK
2021-09-09 21:20:28.846,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showNegative,3004,"[2] user=authenticated, password=authenticated",OK
2021-09-09 21:20:39.215,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3129,"[1] recordIndex=0, title=Prepare the sour cream topping, description=Place sour cream in a medium sized bowl, stir in the powdered sugar and vanilla, until smooth. Chill until you are ready to serve the cake., workload=99.59, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2019/04/24 07:30, end=2021/04/24 09:15, visibility=PUBLIC",OK
2021-09-09 21:20:42.696,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3212,"[2] recordIndex=1, title=Process graham crackers, mix with sugar, salt, butter, description=Pulse the graham crackers in a food processor or blender until finely ground. Put in a large bowl, and stir in the sugar and salt. Stir in the melted butter. Preheat oven to 350°F (175°C), with rack in lower third of oven., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/13 12:30, end=2021/04/13 14:30, visibility=PUBLIC",OK
2021-09-09 21:20:46.202,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3267,"[3] recordIndex=2, title=Beat cream cheese, then sugar, description=Cut the cream cheese into chunks and place in the bowl of an electric mixer, with the paddle attachment. Mix on medium speed for 4 minutes until smooth, soft and creamy. Add the sugar, beat for 4 minutes more., workload=8.00, link=null, start=2021/04/24 00:30, end=2021/04/25 01:15, visibility=PUBLIC",OK
2021-09-09 21:20:49.529,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3112,"[4] recordIndex=3, title=Prepare the raspberry sauce, description=Place raspberries, sugar, and water in a small saucepan. Use a potato masher to mash the raspberries. Heat on medium, whisking, about 5 minutes, until the sauce begins to thicken. Remove from heat. Let cool., workload=0.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/25 14:30, end=2021/04/25 16:30, visibility=PUBLIC",OK
2021-09-09 21:20:52.966,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3196,"[5] recordIndex=4, title=Add salt, vanilla, then eggs, then sour cream, description=Add the salt and vanilla, beating after each addition. Add the eggs, one at a time, beating on medium low speed for one minute after each addition. Add the sour cream, beat until incorporated., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/05/13 14:30, end=2021/05/13 17:00, visibility=PUBLIC",OK
2021-09-09 21:20:53.46,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,273,"[1] id=32",OK
2021-09-09 21:20:53.918,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,249,"[2] id=33",OK
2021-09-09 21:20:54.375,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,241,"[3] id=34",OK
2021-09-09 21:20:54.91,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,314,"[4] id=35",OK
2021-09-09 21:20:55.405,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,240,"[5] id=36",OK
2021-09-09 21:20:55.925,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,307,"[6] id=37",OK
2021-09-09 21:20:56.415,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,262,"[7] id=38",OK
2021-09-09 21:20:56.959,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,289,"[8] id=39",OK
2021-09-09 21:20:57.463,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,291,"[9] id=40",OK
2021-09-09 21:20:57.926,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,241,"[10] id=41",OK
2021-09-09 21:20:58.384,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,240,"[11] id=42",OK
2021-09-09 21:21:10.02,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4452,"[1] recordIndex=0, title=Prepare the sour cream topping, description=Place sour cream in a medium sized bowl, stir in the powdered sugar and vanilla, until smooth. Chill until you are ready to serve the cake., workload=99.59, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2019/04/24 07:30, end=2021/04/24 09:15, visibility=PUBLIC",OK
2021-09-09 21:21:14.63,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4341,"[2] recordIndex=1, title=Process graham crackers, mix with sugar, salt, butter, description=Pulse the graham crackers in a food processor or blender until finely ground. Put in a large bowl, and stir in the sugar and salt. Stir in the melted butter. Preheat oven to 350°F (175°C), with rack in lower third of oven., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/13 12:30, end=2021/04/13 14:30, visibility=PUBLIC",OK
2021-09-09 21:21:19.17,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4253,"[3] recordIndex=2, title=Beat cream cheese, then sugar, description=Cut the cream cheese into chunks and place in the bowl of an electric mixer, with the paddle attachment. Mix on medium speed for 4 minutes until smooth, soft and creamy. Add the sugar, beat for 4 minutes more., workload=8.00, link=null, start=2021/04/24 00:30, end=2021/04/25 01:15, visibility=PUBLIC",OK
2021-09-09 21:21:23.856,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4444,"[4] recordIndex=3, title=Prepare the raspberry sauce, description=Place raspberries, sugar, and water in a small saucepan. Use a potato masher to mash the raspberries. Heat on medium, whisking, about 5 minutes, until the sauce begins to thicken. Remove from heat. Let cool., workload=0.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/25 14:30, end=2021/04/25 16:30, visibility=PUBLIC",OK
2021-09-09 21:21:28.376,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4257,"[5] recordIndex=4, title=Add salt, vanilla, then eggs, then sour cream, description=Add the salt and vanilla, beating after each addition. Add the eggs, one at a time, beating on medium low speed for one minute after each addition. Add the sour cream, beat until incorporated., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/05/13 14:30, end=2021/05/13 17:00, visibility=PUBLIC",OK
2021-09-09 21:21:42.322,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6809,"[1] recordIndex=10, title=Task 1: Initialize project, description=Create a new repository in Git and upload the StarterProject, workload=1.00, link=http://example.org, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PUBLIC",OK
2021-09-09 21:21:47.845,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5275,"[2] recordIndex=11, title=Task 2: Startup project, description=Add tools in workspace, workload=2.00, link=null, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PRIVATE",OK
2021-09-09 21:21:53.761,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5680,"[3] recordIndex=12, title=Study of the sex of wild animal life in dry areas, description=Lorem ipsum dolorem, workload=99.59, link=https://lol.org, startPeriod=2022/09/13 10:30, endPeriod=2024/09/13 12:30, visibility=PRIVATE",OK
2021-09-09 21:22:01.423,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7420,"[4] recordIndex=13, title=a, description=a, workload=1.00, link=http://AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA.es, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PUBLIC",OK
2021-09-09 21:22:09.127,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7490,"[5] recordIndex=14, title=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, description=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, workload=1.00, link=http://example.org, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PUBLIC",OK
2021-09-09 21:22:16.876,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7528,"[6] recordIndex=15, title=Task 2: Startup project, description=Add tools in workspace, workload=1.59, link=null, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PRIVATE",OK
2021-09-09 21:22:22.35,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5231,"[7] recordIndex=16, title=Task 2: Startup project, description=Add tools in workspace, workload=0.01, link=null, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PRIVATE",OK
2021-09-09 21:22:27.894,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5330,"[8] recordIndex=17, title=Task 2: Startup project, description=Add tools in workspace, workload=0.00, link=null, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PRIVATE",OK
2021-09-09 21:22:33.489,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5374,"[9] recordIndex=18, title=Task 2: Startup project, description=Add tools in workspace, workload=1.00, link=null, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PRIVATE",OK
