timestamp,test-class,test-method,time,description,result
2021-09-10 10:21:28.853,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showPositive,4254,"[1] totalNumberOfPublicTasks=13, totalNumberOfPrivateTasks=7, totalNumberOfFinishedTasks=15, totalNumberOfNonFinishedTasks=5, averageNumberOfTaskExecutionPeriods=200d 23h 2min, deviationNumberOfTaskExecutionPeriods=315d 14h 9min, minimumNumberOfTaskExecutionPeriods=0h 45min, maximumNumberOfTaskExecutionPeriods=731d 1h 45min, averageNumberOfTaskWorkloads=1d 0h 41min, deviationNumberOfTaskWorkloads=1h 7min, minimumNumberOfTaskWorkloads=0h 0min, maximumNumberOfTaskWorkloads=4d 3h 35min",OK
2021-09-10 10:21:32.523,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showNegative,3337,"[1] user=manager1, password=manager1",OK
2021-09-10 10:21:35.833,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showNegative,3005,"[2] user=authenticated, password=authenticated",OK
2021-09-10 10:21:48.505,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,4918,"[1] recordIndex=0, title=Prepare the sour cream topping, description=Place sour cream in a medium sized bowl, stir in the powdered sugar and vanilla, until smooth. Chill until you are ready to serve the cake., workload=99.59, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2019/04/24 07:30, end=2021/04/24 09:15, visibility=PUBLIC",OK
2021-09-10 10:21:51.984,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3197,"[2] recordIndex=1, title=Process graham crackers, mix with sugar, salt, butter, description=Pulse the graham crackers in a food processor or blender until finely ground. Put in a large bowl, and stir in the sugar and salt. Stir in the melted butter. Preheat oven to 350°F (175°C), with rack in lower third of oven., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/13 12:30, end=2021/04/13 14:30, visibility=PUBLIC",OK
2021-09-10 10:21:55.465,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3170,"[3] recordIndex=2, title=Beat cream cheese, then sugar, description=Cut the cream cheese into chunks and place in the bowl of an electric mixer, with the paddle attachment. Mix on medium speed for 4 minutes until smooth, soft and creamy. Add the sugar, beat for 4 minutes more., workload=8.00, link=null, start=2021/04/24 00:30, end=2021/04/25 01:15, visibility=PUBLIC",OK
2021-09-10 10:21:58.79,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3053,"[4] recordIndex=3, title=Prepare the raspberry sauce, description=Place raspberries, sugar, and water in a small saucepan. Use a potato masher to mash the raspberries. Heat on medium, whisking, about 5 minutes, until the sauce begins to thicken. Remove from heat. Let cool., workload=0.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/25 14:30, end=2021/04/25 16:30, visibility=PUBLIC",OK
2021-09-10 10:22:02.169,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3113,"[5] recordIndex=4, title=Add salt, vanilla, then eggs, then sour cream, description=Add the salt and vanilla, beating after each addition. Add the eggs, one at a time, beating on medium low speed for one minute after each addition. Add the sour cream, beat until incorporated., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/05/13 14:30, end=2021/05/13 17:00, visibility=PUBLIC",OK
2021-09-10 10:22:02.75,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,292,"[1] id=32",OK
2021-09-10 10:22:03.3,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,276,"[2] id=33",OK
2021-09-10 10:22:03.844,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,290,"[3] id=34",OK
2021-09-10 10:22:04.476,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,321,"[4] id=35",OK
2021-09-10 10:22:05.133,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,360,"[5] id=36",OK
2021-09-10 10:22:05.752,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,310,"[6] id=37",OK
2021-09-10 10:22:06.305,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,287,"[7] id=38",OK
2021-09-10 10:22:06.851,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,293,"[8] id=39",OK
2021-09-10 10:22:07.409,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,298,"[9] id=40",OK
2021-09-10 10:22:07.961,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,289,"[10] id=41",OK
2021-09-10 10:22:08.685,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,301,"[11] id=42",OK
2021-09-10 10:22:21.433,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4564,"[1] recordIndex=0, title=Prepare the sour cream topping, description=Place sour cream in a medium sized bowl, stir in the powdered sugar and vanilla, until smooth. Chill until you are ready to serve the cake., workload=99.59, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2019/04/24 07:30, end=2021/04/24 09:15, visibility=PUBLIC",OK
2021-09-10 10:22:25.919,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4214,"[2] recordIndex=1, title=Process graham crackers, mix with sugar, salt, butter, description=Pulse the graham crackers in a food processor or blender until finely ground. Put in a large bowl, and stir in the sugar and salt. Stir in the melted butter. Preheat oven to 350°F (175°C), with rack in lower third of oven., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/13 12:30, end=2021/04/13 14:30, visibility=PUBLIC",OK
2021-09-10 10:22:31.008,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4805,"[3] recordIndex=2, title=Beat cream cheese, then sugar, description=Cut the cream cheese into chunks and place in the bowl of an electric mixer, with the paddle attachment. Mix on medium speed for 4 minutes until smooth, soft and creamy. Add the sugar, beat for 4 minutes more., workload=8.00, link=null, start=2021/04/24 00:30, end=2021/04/25 01:15, visibility=PUBLIC",OK
2021-09-10 10:22:36.069,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4710,"[4] recordIndex=3, title=Prepare the raspberry sauce, description=Place raspberries, sugar, and water in a small saucepan. Use a potato masher to mash the raspberries. Heat on medium, whisking, about 5 minutes, until the sauce begins to thicken. Remove from heat. Let cool., workload=0.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/25 14:30, end=2021/04/25 16:30, visibility=PUBLIC",OK
2021-09-10 10:22:40.518,acme.testing.authenticated.task.AuthenticatedTaskListTest,listPositive,4190,"[5] recordIndex=4, title=Add salt, vanilla, then eggs, then sour cream, description=Add the salt and vanilla, beating after each addition. Add the eggs, one at a time, beating on medium low speed for one minute after each addition. Add the sour cream, beat until incorporated., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/05/13 14:30, end=2021/05/13 17:00, visibility=PUBLIC",OK
2021-09-10 10:22:55.906,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,7747,"[1] recordIndex=10, title=Task 1: Initialize project, description=Create a new repository in Git and upload the StarterProject, workload=1.00, link=http://example.org, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PUBLIC",OK
2021-09-10 10:23:01.335,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5173,"[2] recordIndex=11, title=Task 2: Startup project, description=Add tools in workspace, workload=2.00, link=null, startPeriod=2022/09/13 10:30, endPeriod=2022/09/13 12:30, visibility=PRIVATE",OK
2021-09-10 10:23:07.241,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5650,"[3] recordIndex=12, title=Study of the sex of wild animal life in dry areas, description=Lorem ipsum dolorem, workload=99.59, link=https://lol.org, startPeriod=2022/09/13 10:30, endPeriod=2024/09/13 12:30, visibility=PRIVATE",OK
